countryCode,date,confirmedCases
AE,2020-01-22,0
AE,2020-01-23,0
AE,2020-01-24,0
AE,2020-01-25,0
AE,2020-01-26,0
AE,2020-01-27,0
AE,2020-01-28,0
AE,2020-01-29,4
AE,2020-01-30,4
AE,2020-01-31,4
AE,2020-02-01,4
AE,2020-02-02,5
AE,2020-02-03,5
AE,2020-02-04,5
AE,2020-02-05,5
AE,2020-02-06,5
AE,2020-02-07,5
AE,2020-02-08,7
AE,2020-02-09,7
AE,2020-02-10,8
AE,2020-02-11,8
AE,2020-02-12,8
AE,2020-02-13,8
AE,2020-02-14,8
AE,2020-02-15,8
AE,2020-02-16,9
AE,2020-02-17,9
AE,2020-02-18,9
AE,2020-02-19,9
AE,2020-02-20,9
AE,2020-02-21,9
AE,2020-02-22,13
AE,2020-02-23,13
AE,2020-02-24,13
AE,2020-02-25,13
AE,2020-02-26,13
AE,2020-02-27,13
AE,2020-02-28,19
AE,2020-02-29,21
AE,2020-03-01,21
AE,2020-03-02,21
AE,2020-03-03,27
AE,2020-03-04,27
AE,2020-03-05,29
AE,2020-03-06,29
AE,2020-03-07,45
AE,2020-03-08,45
AE,2020-03-09,45
AT,2020-01-22,0
AT,2020-01-23,0
AT,2020-01-24,0
AT,2020-01-25,0
AT,2020-01-26,0
AT,2020-01-27,0
AT,2020-01-28,0
AT,2020-01-29,0
AT,2020-01-30,0
AT,2020-01-31,0
AT,2020-02-01,0
AT,2020-02-02,0
AT,2020-02-03,0
AT,2020-02-04,0
AT,2020-02-05,0
AT,2020-02-06,0
AT,2020-02-07,0
AT,2020-02-08,0
AT,2020-02-09,0
AT,2020-02-10,0
AT,2020-02-11,0
AT,2020-02-12,0
AT,2020-02-13,0
AT,2020-02-14,0
AT,2020-02-15,0
AT,2020-02-16,0
AT,2020-02-17,0
AT,2020-02-18,0
AT,2020-02-19,0
AT,2020-02-20,0
AT,2020-02-21,0
AT,2020-02-22,0
AT,2020-02-23,0
AT,2020-02-24,0
AT,2020-02-25,2
AT,2020-02-26,2
AT,2020-02-27,3
AT,2020-02-28,3
AT,2020-02-29,9
AT,2020-03-01,14
AT,2020-03-02,18
AT,2020-03-03,21
AT,2020-03-04,29
AT,2020-03-05,41
AT,2020-03-06,55
AT,2020-03-07,79
AT,2020-03-08,104
AT,2020-03-09,131
AU,2020-01-22,0
AU,2020-01-23,0
AU,2020-01-24,0
AU,2020-01-25,0
AU,2020-01-26,4
AU,2020-01-27,5
AU,2020-01-28,5
AU,2020-01-29,6
AU,2020-01-30,9
AU,2020-01-31,9
AU,2020-02-01,12
AU,2020-02-02,12
AU,2020-02-03,12
AU,2020-02-04,13
AU,2020-02-05,13
AU,2020-02-06,14
AU,2020-02-07,15
AU,2020-02-08,15
AU,2020-02-09,15
AU,2020-02-10,15
AU,2020-02-11,15
AU,2020-02-12,15
AU,2020-02-13,15
AU,2020-02-14,15
AU,2020-02-15,15
AU,2020-02-16,15
AU,2020-02-17,15
AU,2020-02-18,15
AU,2020-02-19,15
AU,2020-02-20,15
AU,2020-02-21,19
AU,2020-02-22,22
AU,2020-02-23,22
AU,2020-02-24,22
AU,2020-02-25,22
AU,2020-02-26,22
AU,2020-02-27,23
AU,2020-02-28,23
AU,2020-02-29,25
AU,2020-03-01,27
AU,2020-03-02,30
AU,2020-03-03,39
AU,2020-03-04,52
AU,2020-03-05,55
AU,2020-03-06,60
AU,2020-03-07,63
AU,2020-03-08,76
AU,2020-03-09,91
BE,2020-01-22,0
BE,2020-01-23,0
BE,2020-01-24,0
BE,2020-01-25,0
BE,2020-01-26,0
BE,2020-01-27,0
BE,2020-01-28,0
BE,2020-01-29,0
BE,2020-01-30,0
BE,2020-01-31,0
BE,2020-02-01,0
BE,2020-02-02,0
BE,2020-02-03,0
BE,2020-02-04,1
BE,2020-02-05,1
BE,2020-02-06,1
BE,2020-02-07,1
BE,2020-02-08,1
BE,2020-02-09,1
BE,2020-02-10,1
BE,2020-02-11,1
BE,2020-02-12,1
BE,2020-02-13,1
BE,2020-02-14,1
BE,2020-02-15,1
BE,2020-02-16,1
BE,2020-02-17,1
BE,2020-02-18,1
BE,2020-02-19,1
BE,2020-02-20,1
BE,2020-02-21,1
BE,2020-02-22,1
BE,2020-02-23,1
BE,2020-02-24,1
BE,2020-02-25,1
BE,2020-02-26,1
BE,2020-02-27,1
BE,2020-02-28,1
BE,2020-02-29,1
BE,2020-03-01,2
BE,2020-03-02,8
BE,2020-03-03,13
BE,2020-03-04,23
BE,2020-03-05,50
BE,2020-03-06,109
BE,2020-03-07,169
BE,2020-03-08,200
BE,2020-03-09,239
BH,2020-01-22,0
BH,2020-01-23,0
BH,2020-01-24,0
BH,2020-01-25,0
BH,2020-01-26,0
BH,2020-01-27,0
BH,2020-01-28,0
BH,2020-01-29,0
BH,2020-01-30,0
BH,2020-01-31,0
BH,2020-02-01,0
BH,2020-02-02,0
BH,2020-02-03,0
BH,2020-02-04,0
BH,2020-02-05,0
BH,2020-02-06,0
BH,2020-02-07,0
BH,2020-02-08,0
BH,2020-02-09,0
BH,2020-02-10,0
BH,2020-02-11,0
BH,2020-02-12,0
BH,2020-02-13,0
BH,2020-02-14,0
BH,2020-02-15,0
BH,2020-02-16,0
BH,2020-02-17,0
BH,2020-02-18,0
BH,2020-02-19,0
BH,2020-02-20,0
BH,2020-02-21,0
BH,2020-02-22,0
BH,2020-02-23,0
BH,2020-02-24,1
BH,2020-02-25,23
BH,2020-02-26,33
BH,2020-02-27,33
BH,2020-02-28,36
BH,2020-02-29,41
BH,2020-03-01,47
BH,2020-03-02,49
BH,2020-03-03,49
BH,2020-03-04,52
BH,2020-03-05,55
BH,2020-03-06,60
BH,2020-03-07,85
BH,2020-03-08,85
BH,2020-03-09,95
CA,2020-01-22,0
CA,2020-01-23,0
CA,2020-01-24,0
CA,2020-01-25,0
CA,2020-01-26,1
CA,2020-01-27,1
CA,2020-01-28,2
CA,2020-01-29,2
CA,2020-01-30,2
CA,2020-01-31,4
CA,2020-02-01,4
CA,2020-02-02,4
CA,2020-02-03,4
CA,2020-02-04,4
CA,2020-02-05,5
CA,2020-02-06,5
CA,2020-02-07,7
CA,2020-02-08,7
CA,2020-02-09,7
CA,2020-02-10,7
CA,2020-02-11,7
CA,2020-02-12,7
CA,2020-02-13,7
CA,2020-02-14,7
CA,2020-02-15,7
CA,2020-02-16,7
CA,2020-02-17,8
CA,2020-02-18,8
CA,2020-02-19,8
CA,2020-02-20,8
CA,2020-02-21,9
CA,2020-02-22,9
CA,2020-02-23,9
CA,2020-02-24,10
CA,2020-02-25,11
CA,2020-02-26,11
CA,2020-02-27,13
CA,2020-02-28,14
CA,2020-02-29,20
CA,2020-03-01,24
CA,2020-03-02,27
CA,2020-03-03,30
CA,2020-03-04,33
CA,2020-03-05,37
CA,2020-03-06,49
CA,2020-03-07,54
CA,2020-03-08,64
CA,2020-03-09,77
CH,2020-01-22,0
CH,2020-01-23,0
CH,2020-01-24,0
CH,2020-01-25,0
CH,2020-01-26,0
CH,2020-01-27,0
CH,2020-01-28,0
CH,2020-01-29,0
CH,2020-01-30,0
CH,2020-01-31,0
CH,2020-02-01,0
CH,2020-02-02,0
CH,2020-02-03,0
CH,2020-02-04,0
CH,2020-02-05,0
CH,2020-02-06,0
CH,2020-02-07,0
CH,2020-02-08,0
CH,2020-02-09,0
CH,2020-02-10,0
CH,2020-02-11,0
CH,2020-02-12,0
CH,2020-02-13,0
CH,2020-02-14,0
CH,2020-02-15,0
CH,2020-02-16,0
CH,2020-02-17,0
CH,2020-02-18,0
CH,2020-02-19,0
CH,2020-02-20,0
CH,2020-02-21,0
CH,2020-02-22,0
CH,2020-02-23,0
CH,2020-02-24,0
CH,2020-02-25,1
CH,2020-02-26,1
CH,2020-02-27,8
CH,2020-02-28,8
CH,2020-02-29,18
CH,2020-03-01,27
CH,2020-03-02,42
CH,2020-03-03,56
CH,2020-03-04,90
CH,2020-03-05,114
CH,2020-03-06,214
CH,2020-03-07,268
CH,2020-03-08,337
CH,2020-03-09,374
CN,2020-01-22,547
CN,2020-01-23,639
CN,2020-01-24,916
CN,2020-01-25,1399
CN,2020-01-26,2062
CN,2020-01-27,2863
CN,2020-01-28,5494
CN,2020-01-29,6070
CN,2020-01-30,8124
CN,2020-01-31,9783
CN,2020-02-01,11871
CN,2020-02-02,16607
CN,2020-02-03,19693
CN,2020-02-04,23680
CN,2020-02-05,27409
CN,2020-02-06,30553
CN,2020-02-07,34075
CN,2020-02-08,36778
CN,2020-02-09,39790
CN,2020-02-10,42306
CN,2020-02-11,44327
CN,2020-02-12,44699
CN,2020-02-13,59832
CN,2020-02-14,66292
CN,2020-02-15,68347
CN,2020-02-16,70446
CN,2020-02-17,72364
CN,2020-02-18,74139
CN,2020-02-19,74546
CN,2020-02-20,74999
CN,2020-02-21,75472
CN,2020-02-22,76922
CN,2020-02-23,76938
CN,2020-02-24,77152
CN,2020-02-25,77660
CN,2020-02-26,78065
CN,2020-02-27,78498
CN,2020-02-28,78824
CN,2020-02-29,79251
CN,2020-03-01,79826
CN,2020-03-02,80026
CN,2020-03-03,80151
CN,2020-03-04,80271
CN,2020-03-05,80422
CN,2020-03-06,80573
CN,2020-03-07,80652
CN,2020-03-08,80699
CN,2020-03-09,80735
DE,2020-01-22,0
DE,2020-01-23,0
DE,2020-01-24,0
DE,2020-01-25,0
DE,2020-01-26,0
DE,2020-01-27,1
DE,2020-01-28,4
DE,2020-01-29,4
DE,2020-01-30,4
DE,2020-01-31,5
DE,2020-02-01,8
DE,2020-02-02,10
DE,2020-02-03,12
DE,2020-02-04,12
DE,2020-02-05,12
DE,2020-02-06,12
DE,2020-02-07,13
DE,2020-02-08,13
DE,2020-02-09,14
DE,2020-02-10,14
DE,2020-02-11,16
DE,2020-02-12,16
DE,2020-02-13,16
DE,2020-02-14,16
DE,2020-02-15,16
DE,2020-02-16,16
DE,2020-02-17,16
DE,2020-02-18,16
DE,2020-02-19,16
DE,2020-02-20,16
DE,2020-02-21,16
DE,2020-02-22,16
DE,2020-02-23,16
DE,2020-02-24,16
DE,2020-02-25,17
DE,2020-02-26,27
DE,2020-02-27,46
DE,2020-02-28,48
DE,2020-02-29,79
DE,2020-03-01,130
DE,2020-03-02,159
DE,2020-03-03,196
DE,2020-03-04,262
DE,2020-03-05,482
DE,2020-03-06,670
DE,2020-03-07,799
DE,2020-03-08,1040
DE,2020-03-09,1176
DK,2020-01-22,0
DK,2020-01-23,0
DK,2020-01-24,0
DK,2020-01-25,0
DK,2020-01-26,0
DK,2020-01-27,0
DK,2020-01-28,0
DK,2020-01-29,0
DK,2020-01-30,0
DK,2020-01-31,0
DK,2020-02-01,0
DK,2020-02-02,0
DK,2020-02-03,0
DK,2020-02-04,0
DK,2020-02-05,0
DK,2020-02-06,0
DK,2020-02-07,0
DK,2020-02-08,0
DK,2020-02-09,0
DK,2020-02-10,0
DK,2020-02-11,0
DK,2020-02-12,0
DK,2020-02-13,0
DK,2020-02-14,0
DK,2020-02-15,0
DK,2020-02-16,0
DK,2020-02-17,0
DK,2020-02-18,0
DK,2020-02-19,0
DK,2020-02-20,0
DK,2020-02-21,0
DK,2020-02-22,0
DK,2020-02-23,0
DK,2020-02-24,0
DK,2020-02-25,0
DK,2020-02-26,0
DK,2020-02-27,1
DK,2020-02-28,1
DK,2020-02-29,3
DK,2020-03-01,4
DK,2020-03-02,4
DK,2020-03-03,6
DK,2020-03-04,10
DK,2020-03-05,10
DK,2020-03-06,23
DK,2020-03-07,23
DK,2020-03-08,35
DK,2020-03-09,90
ES,2020-01-22,0
ES,2020-01-23,0
ES,2020-01-24,0
ES,2020-01-25,0
ES,2020-01-26,0
ES,2020-01-27,0
ES,2020-01-28,0
ES,2020-01-29,0
ES,2020-01-30,0
ES,2020-01-31,0
ES,2020-02-01,1
ES,2020-02-02,1
ES,2020-02-03,1
ES,2020-02-04,1
ES,2020-02-05,1
ES,2020-02-06,1
ES,2020-02-07,1
ES,2020-02-08,1
ES,2020-02-09,2
ES,2020-02-10,2
ES,2020-02-11,2
ES,2020-02-12,2
ES,2020-02-13,2
ES,2020-02-14,2
ES,2020-02-15,2
ES,2020-02-16,2
ES,2020-02-17,2
ES,2020-02-18,2
ES,2020-02-19,2
ES,2020-02-20,2
ES,2020-02-21,2
ES,2020-02-22,2
ES,2020-02-23,2
ES,2020-02-24,2
ES,2020-02-25,6
ES,2020-02-26,13
ES,2020-02-27,15
ES,2020-02-28,32
ES,2020-02-29,45
ES,2020-03-01,84
ES,2020-03-02,120
ES,2020-03-03,165
ES,2020-03-04,222
ES,2020-03-05,259
ES,2020-03-06,400
ES,2020-03-07,500
ES,2020-03-08,673
ES,2020-03-09,1073
FR,2020-01-22,0
FR,2020-01-23,0
FR,2020-01-24,2
FR,2020-01-25,3
FR,2020-01-26,3
FR,2020-01-27,3
FR,2020-01-28,4
FR,2020-01-29,5
FR,2020-01-30,5
FR,2020-01-31,5
FR,2020-02-01,6
FR,2020-02-02,6
FR,2020-02-03,6
FR,2020-02-04,6
FR,2020-02-05,6
FR,2020-02-06,6
FR,2020-02-07,6
FR,2020-02-08,11
FR,2020-02-09,11
FR,2020-02-10,11
FR,2020-02-11,11
FR,2020-02-12,11
FR,2020-02-13,11
FR,2020-02-14,11
FR,2020-02-15,12
FR,2020-02-16,12
FR,2020-02-17,12
FR,2020-02-18,12
FR,2020-02-19,12
FR,2020-02-20,12
FR,2020-02-21,12
FR,2020-02-22,12
FR,2020-02-23,12
FR,2020-02-24,12
FR,2020-02-25,14
FR,2020-02-26,18
FR,2020-02-27,38
FR,2020-02-28,57
FR,2020-02-29,100
FR,2020-03-01,130
FR,2020-03-02,191
FR,2020-03-03,204
FR,2020-03-04,285
FR,2020-03-05,377
FR,2020-03-06,653
FR,2020-03-07,949
FR,2020-03-08,1126
FR,2020-03-09,1209
IL,2020-01-22,0
IL,2020-01-23,0
IL,2020-01-24,0
IL,2020-01-25,0
IL,2020-01-26,0
IL,2020-01-27,0
IL,2020-01-28,0
IL,2020-01-29,0
IL,2020-01-30,0
IL,2020-01-31,0
IL,2020-02-01,0
IL,2020-02-02,0
IL,2020-02-03,0
IL,2020-02-04,0
IL,2020-02-05,0
IL,2020-02-06,0
IL,2020-02-07,0
IL,2020-02-08,0
IL,2020-02-09,0
IL,2020-02-10,0
IL,2020-02-11,0
IL,2020-02-12,0
IL,2020-02-13,0
IL,2020-02-14,0
IL,2020-02-15,0
IL,2020-02-16,0
IL,2020-02-17,0
IL,2020-02-18,0
IL,2020-02-19,0
IL,2020-02-20,0
IL,2020-02-21,1
IL,2020-02-22,1
IL,2020-02-23,1
IL,2020-02-24,1
IL,2020-02-25,1
IL,2020-02-26,2
IL,2020-02-27,3
IL,2020-02-28,4
IL,2020-02-29,7
IL,2020-03-01,10
IL,2020-03-02,10
IL,2020-03-03,12
IL,2020-03-04,15
IL,2020-03-05,16
IL,2020-03-06,21
IL,2020-03-07,21
IL,2020-03-08,39
IL,2020-03-09,39
IN,2020-01-22,0
IN,2020-01-23,0
IN,2020-01-24,0
IN,2020-01-25,0
IN,2020-01-26,0
IN,2020-01-27,0
IN,2020-01-28,0
IN,2020-01-29,0
